#ppt,"","",""
"",eco2,eco2,eco2
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
2000-01-01T00:00:00Z,181.61,0,0
2000-02-01T00:00:00Z,83.82,0,0
2000-03-01T00:00:00Z,166.37,0,0
2000-04-01T00:00:00Z,219.202,0,0
2000-05-01T00:00:00Z,57.15,0,0
2000-06-01T00:00:00Z,142.24,0,0
2000-07-01T00:00:00Z,115.062,0,0
2000-08-01T00:00:00Z,61.214,0,0
2000-09-01T00:00:00Z,128.016,0,0
2000-10-01T00:00:00Z,168.755785714286,0,0
2000-11-01T00:00:00Z,253.746,0,0
2000-12-01T00:00:00Z,98.298,0,0
2001-01-01T00:00:00Z,180.594,0,0
2001-02-01T00:00:00Z,156.464,0,0
2001-03-01T00:00:00Z,177.546,0,0
2001-04-01T00:00:00Z,62.992,0,0
2001-05-01T00:00:00Z,99.568,0,0
2001-06-01T00:00:00Z,254,0,0
2001-07-01T00:00:00Z,72.39,0,0
2001-08-01T00:00:00Z,92.71,0,0
2001-09-01T00:00:00Z,183.388,0,0
2001-10-01T00:00:00Z,122.936,0,0
2001-11-01T00:00:00Z,97.79,0,0
2001-12-01T00:00:00Z,102.616,0,0
2002-01-01T00:00:00Z,199.644,0,0
2002-02-01T00:00:00Z,72.39,0,0
2002-03-01T00:00:00Z,217.932,0,0
2002-04-01T00:00:00Z,81.534,0,0
2002-05-01T00:00:00Z,195.58,0,0
2002-06-01T00:00:00Z,111.76,0,0
2002-07-01T00:00:00Z,117.094,0,0
2002-08-01T00:00:00Z,116.332,0,0
2002-09-01T00:00:00Z,378.968,0,0
2002-10-01T00:00:00Z,151.384,0,0
2002-11-01T00:00:00Z,170.688,0,0
2002-12-01T00:00:00Z,223.266,0,0
2003-01-01T00:00:00Z,80.264,0,0
2003-02-01T00:00:00Z,233.172,0,0
2003-03-01T00:00:00Z,154.432,0,0
2003-04-01T00:00:00Z,168.91,0,0
2003-05-01T00:00:00Z,316.484,0,0
2003-06-01T00:00:00Z,198.882,0,0
2003-07-01T00:00:00Z,285.496,0,0
2003-08-01T00:00:00Z,179.07,0,0
2003-09-01T00:00:00Z,198.374,0,0
2003-10-01T00:00:00Z,83.058,0,0
2003-11-01T00:00:00Z,293.116,0,0
2003-12-01T00:00:00Z,143.764,0,0
2004-01-01T00:00:00Z,100.584,0,0
2004-02-01T00:00:00Z,141.224,0,0
2004-03-01T00:00:00Z,102.87,0,0
2004-04-01T00:00:00Z,116.586,0,0
2004-05-01T00:00:00Z,202.184,0,0
2004-06-01T00:00:00Z,169.418,0,0
2004-07-01T00:00:00Z,153.67,0,0
2004-08-01T00:00:00Z,98.552,0,0
2004-09-01T00:00:00Z,523.24,0,0
2004-10-01T00:00:00Z,46.736,0,0
2004-11-01T00:00:00Z,299.212,0,0
2004-12-01T00:00:00Z,220.726,0,0
2005-01-01T00:00:00Z,100.076,0,0
2005-02-01T00:00:00Z,167.894,0,0
