SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,ZRLeafCN,ZRFineRootCN,ZRWoodCN,ZRCoarseRootCN,ZRFoliageLitterCN,ZRMaximumANPP,KMLeafCN,KMFineRootCN,KMWoodCN,KMCoarseRootCN,KMFoliageLitterCN,KMMaximumANPP
AcerRubr,3,FALSE,1360.7,6493.2,-20,0.372,1,FALSE,0.263,0.225,0.3104,0.204,75,45,500,90,65,540,30000,50,45,500,90,65,450,96,48,584,108,78,470.6
AcerSacc,3,FALSE,1334.9,4177.35,-18,0.072,1,TRUE,0.175,0.334,0.125,0.312,75,45,500,90,65,540,30000,50,45,500,90,65,450,96,48,584,108,78,470.6
BetuLent,3,FALSE,1649.98,3578.13,-18,0.2,1,TRUE,0.219,0.27,0.2018,0.251,75,45,500,90,65,420,30000,50,45,500,90,65,350,78,48,584,96,78,314.6
CaryAlba,2,FALSE,2232.16,5310.4,-7,0.2,1,FALSE,0.187,0.27,0.2,0.251,27,25,100,49,43,270,30000,18,25,100,49,43,225,60,30,470,79,52,321.1
CaryGlab,2,FALSE,1977.12,6960,-7,0.2,1,TRUE,0.187,0.24,0.2,0.251,27,25,100,118,43,270,30000,18,25,100,118,43,225,60,30,470,79,52,321.1
CornFlor,3,FALSE,2443.75,5295.9,-4,0.25,1,TRUE,0.172,0.255,0.255,0.255,75,45,350,90,45,276,15000,50,45,350,90,45,230,54,48,144,96,54,149.5
FaguGran,3,FALSE,1387.8,5112.6,-12,0.28,1,FALSE,0.172,0.255,0.255,0.255,75,45,350,90,45,420,20000,50,45,350,90,45,350,78,54,144,108,54,321.1
FraxAmer,2,FALSE,1456.94,5112.6,-12,0.28,1,FALSE,0.114,0.27,0.2018,0.251,35,26,189,50,65,180,15000,23,26,189,50,65,150,42,32,144,84,36,171.6
HaleDipt,3,FALSE,1910,6960,-2,0.3,1,FALSE,0.336,0.255,0.255,0.255,27,45,90,50,30,120,15000,18,45,90,50,30,100,54,48,144,96,54,149.5
LiriTuli,3,FALSE,2295.39,6000,-7,0.3,1,TRUE,0.331,0.255,0.255,0.255,90,45,500,90,65,570,32000,60,45,500,90,65,475,90,54,592,108,54,470.6
MagnAcum,3,FALSE,1849.8,4987.6,-2,0.16,1,TRUE,0.293,0.23,0.23,0.23,75,48,500,333,55,420,15000,50,48,500,333,55,350,54,48,144,96,54,260
MagnMacr,3,FALSE,1850.51,5993,-2,0.16,1,TRUE,0.293,0.23,0.23,0.23,75,48,500,333,55,420,15000,50,48,500,333,55,350,54,48,144,96,54,260
NyssSylv,3,FALSE,1910,6960,-2,0.301,1,TRUE,0.172,0.255,0.255,0.255,75,45,90,90,45,360,20000,50,45,90,90,45,300,66,54,576,108,54,292.5
OxydArbo,2,FALSE,2146.02,4993.49,-2,0.3,1,TRUE,0.336,0.255,0.255,0.255,38,45,90,90,55,180,20000,25,45,90,90,55,150,48,54,144,108,66,282.1
